time,ax,ay,az,atotal
2021-09-03 18:56:08.1010,-0.2,-0.77,1.66,1.84
2021-09-03 18:56:08.1020,0.23,-1.06,1.95,2.23
2021-09-03 18:56:08.1050,0.54,-1.08,2.2,2.5
2021-09-03 18:56:08.1150,0.66,-1.06,2.36,2.66
2021-09-03 18:56:08.1260,0.63,-1.22,2.45,2.8
2021-09-03 18:56:08.1350,0.64,-1.57,2.59,3.09
2021-09-03 18:56:08.1450,0.77,-1.66,2.6,3.17
2021-09-03 18:56:08.1550,1.05,-1.32,2.41,2.94
2021-09-03 18:56:08.1650,1.15,-1.05,2.44,2.89
2021-09-03 18:56:08.1760,0.56,-0.83,2.32,2.52
2021-09-03 18:56:08.2010,-0.28,-1.02,2.76,2.95
2021-09-03 18:56:08.2020,-1.08,-1.37,2.94,3.41
2021-09-03 18:56:08.2050,-1.06,-1.57,2.87,3.43
2021-09-03 18:56:08.2150,-0.46,-1.33,2.72,3.06
2021-09-03 18:56:08.2250,0.31,-1.06,2.57,2.79
2021-09-03 18:56:08.2350,0.88,-0.86,2.51,2.79
2021-09-03 18:56:08.2450,1.2,-0.55,2.4,2.73
2021-09-03 18:56:08.2550,1.37,-0.15,2.31,2.68
2021-09-03 18:56:08.2650,1.34,0.26,2.22,2.6
2021-09-03 18:56:08.2750,1.21,0.56,2.02,2.42
2021-09-03 18:56:08.2990,1.17,0.63,1.7,2.15
2021-09-03 18:56:08.3000,1.21,0.57,1.33,1.88
2021-09-03 18:56:08.3040,1.38,0.74,1.08,1.9
2021-09-03 18:56:08.3140,1.42,0.95,0.7,1.84
2021-09-03 18:56:08.3250,1.15,0.86,0.36,1.48
2021-09-03 18:56:08.3350,0.78,0.7,-0.04,1.04
2021-09-03 18:56:08.3450,0.64,0.63,-0.49,1.02
2021-09-03 18:56:08.3550,0.6,0.51,-0.9,1.19
2021-09-03 18:56:08.3650,0.51,0.43,-1.24,1.4
2021-09-03 18:56:08.3750,0.43,0.39,-1.6,1.7
2021-09-03 18:56:08.3980,0.37,0.38,-2.0,2.06
2021-09-03 18:56:08.3990,0.46,0.32,-2.35,2.41
2021-09-03 18:56:08.4040,0.52,0.3,-2.68,2.74
2021-09-03 18:56:08.4140,0.39,0.41,-3.0,3.05
2021-09-03 18:56:08.4250,0.14,0.62,-3.31,3.37
2021-09-03 18:56:08.4340,-0.15,0.79,-3.6,3.68
2021-09-03 18:56:08.4450,-0.49,1.03,-3.86,4.02
2021-09-03 18:56:08.4540,-0.89,1.27,-3.95,4.24
2021-09-03 18:56:08.4650,-1.26,1.51,-4.15,4.59
2021-09-03 18:56:08.4750,-1.38,1.76,-4.39,4.92
2021-09-03 18:56:08.4970,-1.38,1.95,-4.47,5.06
2021-09-03 18:56:08.4980,-1.42,2.1,-4.46,5.13
2021-09-03 18:56:08.5040,-1.29,2.12,-4.55,5.18
2021-09-03 18:56:08.5140,-1.14,2.13,-4.64,5.23
2021-09-03 18:56:08.5240,-1.15,2.02,-4.45,5.02
2021-09-03 18:56:08.5340,-1.76,0.5,-3.03,3.53
2021-09-03 18:56:08.5440,-3.22,-1.09,-1.75,3.82
2021-09-03 18:56:08.5540,-0.16,-3.6,-0.35,3.62
2021-09-03 18:56:08.5640,4.23,-4.47,-1.22,6.27
2021-09-03 18:56:08.5750,5.81,-2.8,1.25,6.56
2021-09-03 18:56:08.5970,2.73,-1.15,1.53,3.33
2021-09-03 18:56:08.5990,1.12,-0.04,-0.69,1.31
2021-09-03 18:56:08.6040,0.04,0.31,-2.4,2.42
2021-09-03 18:56:08.6140,-1.19,-0.17,-2.1,2.41
2021-09-03 18:56:08.6240,-2.12,0.46,-1.51,2.64
2021-09-03 18:56:08.6340,-2.17,1.4,-0.96,2.75
2021-09-03 18:56:08.6440,-1.98,1.01,-0.7,2.33
2021-09-03 18:56:08.6540,-1.66,0.1,-0.7,1.8
2021-09-03 18:56:08.6640,-1.12,-0.17,-0.5,1.23
2021-09-03 18:56:08.6740,-0.58,0.13,-0.27,0.65
2021-09-03 18:56:08.6990,-0.19,0.24,-0.37,0.48
2021-09-03 18:56:08.7000,-0.03,-0.01,-0.54,0.54
2021-09-03 18:56:08.7030,0.2,-0.22,-0.64,0.7
2021-09-03 18:56:08.7130,0.69,-0.3,-0.68,1.01
2021-09-03 18:56:08.7240,1.14,-0.33,-0.63,1.34
2021-09-03 18:56:08.7340,1.24,-0.21,-0.6,1.39
2021-09-03 18:56:08.7440,0.86,0.06,-0.47,0.98
2021-09-03 18:56:08.7540,0.11,0.33,-0.14,0.37
2021-09-03 18:56:08.7640,-0.68,0.35,0.22,0.79
2021-09-03 18:56:08.7740,-1.13,0.24,0.46,1.24
2021-09-03 18:56:08.7970,-1.11,0.23,0.46,1.22
2021-09-03 18:56:08.7980,-0.46,0.13,0.25,0.53
2021-09-03 18:56:08.8030,0.36,-0.14,0.02,0.38
2021-09-03 18:56:08.8130,0.91,-0.39,-0.12,0.99
2021-09-03 18:56:08.8230,1.0,-0.47,-0.05,1.1
2021-09-03 18:56:08.8330,0.6,-0.41,0.13,0.73
2021-09-03 18:56:08.8440,-0.01,-0.38,0.27,0.46
2021-09-03 18:56:08.8530,-0.45,-0.4,0.25,0.65
2021-09-03 18:56:08.8640,-0.47,-0.32,0.09,0.57
2021-09-03 18:56:08.8730,-0.1,-0.21,-0.03,0.23
2021-09-03 18:56:08.8980,0.07,-0.25,0.02,0.26
2021-09-03 18:56:08.9000,-0.18,-0.24,0.08,0.31
2021-09-03 18:56:08.9030,-0.57,-0.15,-0.1,0.59
2021-09-03 18:56:08.9130,-0.85,-0.07,-0.55,1.01
