time,ax,ay,az,atotal
2021-09-03 18:45:43.4800,0.47,0.13,-0.32,0.58
2021-09-03 18:45:43.4900,0.41,0.11,-0.34,0.54
2021-09-03 18:45:43.5000,0.26,-0.01,-0.31,0.4
2021-09-03 18:45:43.5170,0.23,-0.02,-0.2,0.3
2021-09-03 18:45:43.5210,0.28,0.13,0.0,0.3
2021-09-03 18:45:43.5290,0.28,0.14,0.17,0.35
2021-09-03 18:45:43.5390,0.09,-0.02,0.12,0.15
2021-09-03 18:45:43.5490,-0.07,-0.02,-0.03,0.07
2021-09-03 18:45:43.5590,-0.06,0.11,-0.15,0.19
2021-09-03 18:45:43.5690,0.08,0.07,-0.15,0.18
2021-09-03 18:45:43.5800,0.4,0.0,-0.18,0.43
2021-09-03 18:45:43.5900,0.34,0.14,-0.41,0.55
2021-09-03 18:45:43.5990,0.07,0.14,-0.51,0.53
2021-09-03 18:45:43.6190,0.09,0.01,-0.63,0.63
2021-09-03 18:45:43.6220,0.33,-0.09,-0.49,0.59
2021-09-03 18:45:43.6290,0.5,-0.04,-0.31,0.58
2021-09-03 18:45:43.6390,0.36,0.01,-0.08,0.36
2021-09-03 18:45:43.6490,-0.26,-0.11,0.15,0.31
2021-09-03 18:45:43.6590,-0.45,-0.19,0.25,0.54
2021-09-03 18:45:43.6690,-0.16,-0.04,0.34,0.37
2021-09-03 18:45:43.6790,0.12,-0.03,0.41,0.42
2021-09-03 18:45:43.6890,0.12,-0.16,0.47,0.51
2021-09-03 18:45:43.6990,-0.19,-0.23,0.45,0.53
2021-09-03 18:45:43.7180,-0.31,-0.01,0.35,0.46
2021-09-03 18:45:43.7220,-0.04,0.1,0.31,0.32
2021-09-03 18:45:43.7290,0.32,-0.03,0.31,0.44
2021-09-03 18:45:43.7390,0.29,-0.05,0.42,0.51
2021-09-03 18:45:43.7490,0.2,-0.01,0.44,0.48
2021-09-03 18:45:43.7590,0.19,-0.08,0.42,0.46
2021-09-03 18:45:43.7690,0.2,-0.05,0.57,0.6
2021-09-03 18:45:43.7790,0.31,-0.01,0.41,0.51
2021-09-03 18:45:43.7890,0.08,0.0,0.33,0.33
2021-09-03 18:45:43.7990,-0.14,-0.03,0.32,0.35
2021-09-03 18:45:43.8170,-0.16,-0.03,0.44,0.46
2021-09-03 18:45:43.8210,-0.13,0.02,0.4,0.42
2021-09-03 18:45:43.8280,-0.13,0.09,0.29,0.33
2021-09-03 18:45:43.8390,-0.25,0.01,0.15,0.29
2021-09-03 18:45:43.8490,-0.25,-0.07,0.03,0.26
2021-09-03 18:45:43.8580,-0.27,-0.03,0.02,0.27
2021-09-03 18:45:43.8690,-0.29,0.01,-0.07,0.29
2021-09-03 18:45:43.8790,-0.42,-0.02,-0.13,0.44
2021-09-03 18:45:43.8890,-0.47,0.0,-0.23,0.52
2021-09-03 18:45:43.8990,-0.29,0.04,-0.35,0.45
2021-09-03 18:45:43.9180,-0.01,0.13,-0.43,0.44
2021-09-03 18:45:43.9210,0.12,0.11,-0.53,0.55
2021-09-03 18:45:43.9280,-0.08,-0.1,-0.61,0.62
2021-09-03 18:45:43.9380,-0.36,-0.07,-0.57,0.67
